VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
7SAXCBE68R,Thurston,Olympia,WA,98512,2024,TESLA,MODEL X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,35,264933623,POINT (-122.957046 46.991391),PUGET SOUND ENERGY INC,53067011821
1G1FZ6S05N,Thurston,Olympia,WA,98503,2022,CHEVROLET,BOLT EUV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,2,227452179,POINT (-122.80665 47.019564),PUGET SOUND ENERGY INC,53067011628
3FA6P0SU2G,Thurston,Tumwater,WA,98501,2016,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,35,198573294,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067011720
KNDC34LA0R,Thurston,Olympia,WA,98502,2024,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,262586271,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067010520
JTMABABA8R,Thurston,Olympia,WA,98503,2024,SUBARU,SOLTERRA,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,2,267292315,POINT (-122.80665 47.019564),PUGET SOUND ENERGY INC,53067011628
YV4H60DA9P,Thurston,Lacey,WA,98503,2023,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35,0,22,221312416,POINT (-122.80665 47.019564),PUGET SOUND ENERGY INC,53067011300
W1KCG2DB3N,Thurston,Olympia,WA,98502,2022,MERCEDES-BENZ,EQS-CLASS SEDAN,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,35,229490586,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067011902
KNDAFFS52R,Thurston,Olympia,WA,98502,2024,KIA,EV9,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,261851460,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067010520
1G1FW6S00P,Thurston,Olympia,WA,98502,2023,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,259099312,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067012001
1N4AZ1CP9J,Thurston,Olympia,WA,98501,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,35,118515421,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067011721
JN1AZ0CPXC,Thurston,Olympia,WA,98506,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,22,268830397,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067012223
5YJSA1E24G,Thurston,Rochester,WA,98579,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,35,202616137,POINT (-123.08743 46.82175),PUGET SOUND ENERGY INC,53067012710
1G1RH6E42C,Thurston,Yelm,WA,98597,2012,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35,0,20,261369685,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,53067012510
KNDCR3LF7P,Thurston,Olympia,WA,98506,2023,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,0,22,224628631,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067012100
1V2VMPE80P,Thurston,Olympia,WA,98501,2023,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,262662718,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010100
7SAYGDEE4P,Thurston,Olympia,WA,98506,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,249880347,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067012100
KNDCS3LF7P,Thurston,Rochester,WA,98579,2023,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,0,35,225853211,POINT (-123.08743 46.82175),PUGET SOUND ENERGY INC,53067012720
